OpFlag	BusinessEntityID	PhoneNumber	PhoneNumberTypeID	ModifiedDate
V	106	254-555-0114	3	2010-02-20 00:00:00
V	107	153-555-0166	1	2010-02-01 00:00:00
V	108	794-555-0159	1	2008-12-01 00:00:00
V	109	333-555-0173	1	2008-11-30 00:00:00
V	110	299-555-0113	3	2008-12-07 00:00:00
V	111	932-555-0161	3	2008-12-10 00:00:00
V	112	172-555-0130	1	2008-12-25 00:00:00
V	113	612-555-0171	1	2008-12-18 00:00:00
V	114	637-555-0120	3	2009-01-06 00:00:00
V	115	150-555-0194	1	2009-01-13 00:00:00
V	116	441-555-0195	3	2009-01-24 00:00:00
V	117	559-555-0175	3	2009-02-11 00:00:00
V	118	100-555-0174	3	2009-02-06 00:00:00
V	119	817-555-0186	3	2009-02-18 00:00:00
V	120	785-555-0132	3	2009-02-25 00:00:00
V	121	577-555-0185	3	2008-12-26 00:00:00
V	122	943-555-0196	3	2008-11-30 00:00:00
V	123	937-555-0137	3	2008-11-30 00:00:00
V	124	309-555-0129	3	2008-12-19 00:00:00
V	125	139-555-0120	1	2009-01-13 00:00:00
V	126	927-555-0168	1	2009-02-19 00:00:00
V	127	986-555-0177	1	2008-12-27 00:00:00
V	128	147-555-0160	3	2008-11-27 00:00:00
V	129	901-555-0125	1	2008-12-15 00:00:00
V	130	238-555-0116	3	2009-02-06 00:00:00
V	131	164-555-0114	3	2009-02-08 00:00:00
V	132	508-555-0129	1	2009-02-15 00:00:00
V	133	454-555-0119	3	2009-01-03 00:00:00
V	134	260-555-0119	1	2009-01-07 00:00:00
V	135	115-555-0179	3	2008-11-27 00:00:00
V	136	492-555-0174	1	2009-12-04 00:00:00
V	137	106-555-0120	3	2009-02-16 00:00:00
V	138	587-555-0114	1	2009-01-28 00:00:00
V	139	497-555-0181	1	2009-12-30 00:00:00
V	140	129-555-0199	1	2010-01-15 00:00:00
V	141	590-555-0152	3	2010-01-17 00:00:00
V	142	306-555-0186	1	2010-02-25 00:00:00
V	143	491-555-0183	1	2010-02-06 00:00:00
V	144	727-555-0112	1	2009-01-10 00:00:00
V	145	352-555-0138	1	2009-01-20 00:00:00
V	146	952-555-0178	1	2008-11-30 00:00:00
V	147	896-555-0168	3	2008-12-19 00:00:00
V	148	571-555-0179	3	2009-01-07 00:00:00
V	149	118-555-0110	1	2009-01-24 00:00:00
V	150	296-555-0121	1	2009-02-19 00:00:00
V	151	751-555-0134	1	2009-02-12 00:00:00
V	152	965-555-0155	1	2009-01-25 00:00:00
V	153	319-555-0139	3	2008-12-09 00:00:00
V	154	226-555-0197	3	2008-12-16 00:00:00
V	155	935-555-0116	3	2008-12-28 00:00:00
V	156	200-555-0117	1	2009-01-04 00:00:00
V	157	696-555-0157	3	2009-01-27 00:00:00
V	158	991-555-0184	1	2009-02-28 00:00:00
V	159	110-555-0115	3	2009-02-09 00:00:00
V	160	350-555-0167	1	2009-01-14 00:00:00
V	161	669-555-0150	3	2008-12-08 00:00:00
V	162	777-555-0141	3	2008-12-27 00:00:00
V	163	819-555-0198	3	2009-02-01 00:00:00
V	164	207-555-0192	1	2009-02-27 00:00:00
V	165	200-555-0112	1	2009-01-15 00:00:00
V	166	552-555-0111	3	2009-02-14 00:00:00
V	167	166-555-0162	1	2008-11-25 00:00:00
V	168	609-555-0179	3	2008-11-30 00:00:00
V	169	639-555-0164	1	2008-12-07 00:00:00
V	170	518-555-0199	1	2008-12-14 00:00:00
V	171	373-555-0142	3	2008-12-26 00:00:00
V	172	234-555-0169	1	2009-01-09 00:00:00
V	173	241-555-0191	1	2009-01-14 00:00:00
V	174	533-555-0111	1	2009-01-20 00:00:00
V	175	678-555-0110	3	2009-01-26 00:00:00
V	176	118-555-0177	3	2009-02-07 00:00:00
V	177	517-555-0122	3	2009-02-14 00:00:00
V	178	663-555-0172	1	2009-02-24 00:00:00
V	179	139-555-0131	3	2009-02-26 00:00:00
V	180	809-555-0133	3	2009-02-13 00:00:00
V	181	218-555-0126	3	2008-12-02 00:00:00
V	182	143-555-0173	1	2008-12-21 00:00:00
V	183	119-555-0192	1	2009-01-15 00:00:00
V	184	201-555-0163	1	2009-02-02 00:00:00
V	185	165-555-0113	1	2009-02-21 00:00:00
V	186	810-555-0178	1	2009-02-01 00:00:00
V	187	286-555-0189	3	2008-12-02 00:00:00
V	188	808-555-0172	1	2008-12-20 00:00:00
V	189	540-555-0191	3	2009-01-08 00:00:00
V	190	589-555-0147	1	2009-01-26 00:00:00
V	191	450-555-0152	1	2009-02-19 00:00:00
V	192	142-555-0139	3	2009-02-26 00:00:00
V	193	668-555-0130	3	2008-11-29 00:00:00
V	194	818-555-0192	1	2008-12-05 00:00:00
V	195	714-555-0138	3	2008-12-10 00:00:00
V	196	793-555-0179	1	2008-12-17 00:00:00
V	197	373-555-0137	1	2008-12-24 00:00:00
V	198	845-555-0184	3	2008-12-28 00:00:00
V	199	476-555-0119	1	2009-01-05 00:00:00
V	200	158-555-0191	1	2009-01-10 00:00:00
V	201	110-555-0182	1	2009-01-22 00:00:00
V	202	368-555-0113	3	2009-01-29 00:00:00
V	203	949-555-0174	3	2009-02-17 00:00:00
V	204	310-555-0117	3	2009-03-01 00:00:00
V	205	289-555-0196	1	2009-02-19 00:00:00
V	206	413-555-0136	1	2008-11-25 00:00:00
V	207	332-555-0150	3	2008-11-25 00:00:00
V	208	391-555-0138	1	2009-01-01 00:00:00
V	209	446-555-0118	3	2009-01-20 00:00:00
V	210	319-555-0126	1	2009-02-13 00:00:00
V	211	869-555-0125	3	2009-02-21 00:00:00
V	212	164-555-0164	3	2008-12-02 00:00:00
V	213	325-555-0137	3	2010-02-16 00:00:00
V	214	181-555-0124	1	2009-01-26 00:00:00
V	215	147-555-0179	1	2009-01-08 00:00:00
V	216	420-555-0173	1	2008-12-21 00:00:00
V	217	204-555-0115	1	2008-12-28 00:00:00
V	218	910-555-0116	3	2008-12-09 00:00:00
V	219	205-555-0132	1	2009-01-15 00:00:00
V	220	746-555-0164	3	2009-02-02 00:00:00
V	221	575-555-0126	1	2009-02-27 00:00:00
V	222	992-555-0194	1	2008-12-05 00:00:00
V	223	500-555-0159	1	2009-01-19 00:00:00
V	224	148-555-0145	1	2008-12-31 00:00:00
V	225	438-555-0172	3	2009-02-06 00:00:00
V	226	313-555-0196	1	2009-02-24 00:00:00
V	227	110-555-0112	1	2009-11-25 00:00:00
V	228	846-555-0157	1	2008-12-07 00:00:00
V	229	295-555-0161	1	2010-02-09 00:00:00
V	230	539-555-0149	3	2010-02-26 00:00:00
V	231	228-555-0159	1	2010-02-28 00:00:00
V	232	720-555-0158	3	2010-01-20 00:00:00
V	233	583-555-0182	3	2009-12-14 00:00:00
V	234	615-555-0110	1	2009-01-24 00:00:00
V	235	523-555-0175	1	2008-11-29 00:00:00
V	236	955-555-0131	3	2009-02-18 00:00:00
V	237	806-555-0136	3	2009-01-30 00:00:00
V	238	153-555-0186	3	2008-12-25 00:00:00
V	239	522-555-0147	3	2008-12-18 00:00:00
V	240	778-555-0141	3	2008-12-06 00:00:00
V	241	646-555-0185	3	2009-01-23 00:00:00
V	242	602-555-0194	1	2008-12-11 00:00:00
V	243	920-555-0177	1	2008-12-30 00:00:00
V	244	935-555-0199	3	2009-01-17 00:00:00
V	245	822-555-0145	1	2009-02-11 00:00:00
V	246	117-555-0185	3	2009-02-04 00:00:00
V	247	393-555-0186	3	2009-02-22 00:00:00
V	248	927-555-0150	3	2009-03-01 00:00:00
V	249	248-555-0134	3	2008-12-18 00:00:00
V	250	210-555-0193	3	2011-02-18 00:00:00
V	251	309-555-0170	3	2009-02-03 00:00:00
V	252	848-555-0163	1	2009-02-21 00:00:00
V	253	916-555-0165	1	2009-12-10 00:00:00
V	254	520-555-0177	3	2009-12-28 00:00:00
V	255	230-555-0144	1	2010-01-04 00:00:00
V	256	163-555-0147	1	2010-01-16 00:00:00
V	257	265-555-0195	3	2010-01-20 00:00:00
V	258	842-555-0158	3	2010-01-24 00:00:00
V	259	151-555-0113	3	2010-03-02 00:00:00
V	260	125-555-0196	1	2010-11-29 00:00:00
V	261	370-555-0163	3	2010-12-18 00:00:00
V	262	477-555-0132	3	2009-01-05 00:00:00
V	263	685-555-0120	3	2008-12-04 00:00:00
V	264	594-555-0110	3	2009-01-28 00:00:00
V	265	656-555-0119	3	2008-11-27 00:00:00
V	266	310-555-0133	3	2009-02-16 00:00:00
V	267	654-555-0177	3	2009-02-09 00:00:00
V	268	182-555-0134	3	2009-01-27 00:00:00
V	269	166-555-0159	3	2009-01-04 00:00:00
V	270	785-555-0110	1	2009-01-10 00:00:00
V	271	653-555-0144	3	2009-01-15 00:00:00
V	272	623-555-0155	3	2008-12-16 00:00:00
V	273	716-555-0127	1	2011-02-08 00:00:00
V	274	238-555-0197	1	2010-12-28 00:00:00
V	275	257-555-0154	1	2011-05-24 00:00:00
V	276	883-555-0116	3	2011-05-24 00:00:00
V	277	517-555-0117	3	2011-05-24 00:00:00
V	278	922-555-0165	3	2011-05-24 00:00:00
V	279	664-555-0112	3	2011-05-24 00:00:00
V	280	340-555-0193	1	2011-05-24 00:00:00
V	281	330-555-0120	1	2011-05-24 00:00:00
V	282	185-555-0169	3	2011-05-24 00:00:00
V	283	740-555-0182	3	2011-05-24 00:00:00
V	284	615-555-0153	3	2012-09-23 00:00:00
V	285	926-555-0182	3	2013-03-07 00:00:00
V	286	1 (11) 500 555-0190	1	2013-05-23 00:00:00
V	287	775-555-0164	3	2012-04-09 00:00:00
V	288	1 (11) 500 555-0140	1	2013-05-23 00:00:00
V	289	1 (11) 500 555-0145	3	2012-05-23 00:00:00
V	290	1 (11) 500 555-0117	1	2012-05-23 00:00:00
V	291	398-555-0132	1	2015-04-15 16:33:33.060000000
V	293	747-555-0171	1	2015-04-15 16:33:33.077000000
V	295	334-555-0137	3	2015-04-15 16:33:33.077000000
V	297	599-555-0127	1	2015-04-15 16:33:33.090000000
V	299	1 (11) 500 555-0132	1	2015-04-15 16:33:33.090000000
V	301	991-555-0183	3	2015-04-15 16:33:33.090000000
V	303	959-555-0151	1	2015-04-15 16:33:33.107000000
V	305	107-555-0138	1	2015-04-15 16:33:33.107000000
V	307	158-555-0142	1	2015-04-15 16:33:33.123000000
V	309	453-555-0165	1	2015-04-15 16:33:33.123000000
V	311	554-555-0110	3	2011-08-01 00:00:00
V	313	1 (11) 500 555-0198	1	2013-06-30 00:00:00
V	315	678-555-0175	1	2013-07-31 00:00:00
V	317	571-555-0128	1	2011-05-31 00:00:00
V	319	440-555-0166	1	2011-08-01 00:00:00
V	321	1 (11) 500 555-0150	1	2012-07-31 00:00:00
V	323	727-555-0115	3	2012-07-31 00:00:00
V	325	197-555-0143	3	2012-05-30 00:00:00
V	327	492-555-0189	1	2013-07-31 00:00:00
V	329	331-555-0162	1	2013-05-30 00:00:00
V	331	968-555-0153	3	2012-06-30 00:00:00
V	333	845-555-0187	1	2011-08-01 00:00:00
V	335	115-555-0175	3	2013-03-30 00:00:00
V	337	555-555-0162	3	2013-06-30 00:00:00
V	339	695-555-0111	3	2011-07-01 00:00:00
V	341	447-555-0110	1	2011-10-31 00:00:00
V	343	607-555-0193	1	2011-07-01 00:00:00
V	345	699-555-0155	1	2011-07-01 00:00:00
V	347	855-555-0174	1	2011-07-01 00:00:00
V	349	1 (11) 500 555-0190	1	2013-07-31 00:00:00
V	351	781-555-0199	1	2012-06-30 00:00:00
V	353	178-555-0129	3	2013-07-31 00:00:00
V	355	614-555-0134	3	2011-07-01 00:00:00
V	357	1 (11) 500 555-0181	1	2013-06-30 00:00:00
V	359	327-555-0148	1	2013-06-30 00:00:00
V	361	922-555-0193	1	2011-08-01 00:00:00
V	363	500-555-0134	3	2013-06-30 00:00:00
V	365	717-555-0131	3	2012-05-30 00:00:00
V	367	883-555-0177	1	2011-07-01 00:00:00
V	369	226-555-0146	1	2011-07-01 00:00:00
V	371	149-555-0113	1	2011-07-01 00:00:00
V	373	556-555-0145	1	2013-06-30 00:00:00
V	375	129-555-0110	3	2011-08-01 00:00:00
V	377	1 (11) 500 555-0139	3	2013-06-30 00:00:00
V	379	665-555-0198	3	2013-07-31 00:00:00
V	381	818-555-0171	3	2012-07-31 00:00:00
V	383	1 (11) 500 555-0187	3	2013-07-31 00:00:00
V	385	221-555-0167	1	2012-07-31 00:00:00
V	387	121-555-0157	3	2011-10-31 00:00:00
V	389	234-555-0112	3	2012-08-30 00:00:00
V	391	583-555-0130	3	2011-05-31 00:00:00
V	393	790-555-0112	3	2013-07-31 00:00:00
V	395	780-555-0114	3	2011-08-01 00:00:00
V	397	640-555-0189	1	2012-07-31 00:00:00
V	399	816-555-0118	3	2011-08-01 00:00:00
V	401	134-555-0182	1	2012-05-30 00:00:00
V	403	752-555-0115	3	2012-06-30 00:00:00
V	405	241-555-0112	1	2012-10-30 00:00:00
V	407	1 (11) 500 555-0151	3	2013-07-31 00:00:00
V	409	1 (11) 500 555-0168	3	2013-06-30 00:00:00
V	411	584-555-0192	3	2011-07-01 00:00:00
V	413	726-555-0191	1	2012-06-30 00:00:00
V	415	1 (11) 500 555-0187	1	2012-05-30 00:00:00
V	417	257-555-0119	3	2011-10-01 00:00:00
V	419	1 (11) 500 555-0112	3	2013-06-30 00:00:00
V	421	916-555-0133	1	2012-06-30 00:00:00
V	423	115-555-0170	3	2012-06-30 00:00:00
V	425	1 (11) 500 555-0113	3	2013-06-30 00:00:00
V	427	396-555-0187	1	2012-06-30 00:00:00
V	429	521-555-0195	3	2013-02-28 00:00:00
V	431	1 (11) 500 555-0132	1	2012-07-31 00:00:00
V	433	1 (11) 500 555-0127	3	2012-06-30 00:00:00
V	435	1 (11) 500 555-0140	1	2013-06-30 00:00:00
V	437	277-555-0169	1	2011-07-01 00:00:00
V	439	843-555-0175	1	2011-05-31 00:00:00
V	441	156-555-0126	1	2013-07-31 00:00:00
V	443	608-555-0114	3	2013-07-31 00:00:00
V	445	1 (11) 500 555-0163	3	2013-07-31 00:00:00
V	447	973-555-0112	1	2011-05-31 00:00:00
V	449	789-555-0189	3	2013-07-31 00:00:00
V	451	528-555-0183	1	2011-10-01 00:00:00
V	453	599-555-0160	3	2011-10-01 00:00:00
V	455	1 (11) 500 555-0177	1	2013-06-30 00:00:00
V	457	911-555-0153	1	2013-03-30 00:00:00
V	459	640-555-0198	3	2011-07-01 00:00:00
V	461	813-555-0173	1	2012-05-30 00:00:00
V	463	519-555-0151	3	2013-07-31 00:00:00
V	465	156-555-0111	1	2011-07-01 00:00:00
V	467	144-555-0175	3	2013-05-30 00:00:00
V	469	795-555-0116	3	2011-07-01 00:00:00
V	471	449-555-0176	3	2012-07-31 00:00:00
V	473	384-555-0169	3	2012-06-30 00:00:00
V	475	471-555-0181	1	2013-06-30 00:00:00
V	477	280-555-0124	1	2011-08-01 00:00:00
V	479	609-555-0186	1	2013-07-31 00:00:00
V	481	1 (11) 500 555-0136	1	2013-06-30 00:00:00
V	483	992-555-0111	3	2011-05-31 00:00:00
V	485	176-555-0136	3	2011-05-31 00:00:00
V	487	264-555-0143	3	2011-05-31 00:00:00
V	489	972-555-0163	1	2013-06-30 00:00:00
V	491	357-555-0161	1	2012-07-31 00:00:00
V	493	121-555-0121	3	2011-07-01 00:00:00
V	495	126-555-0172	1	2011-05-31 00:00:00
V	497	763-555-0145	3	2011-07-01 00:00:00
V	499	838-555-0147	1	2011-08-01 00:00:00
V	501	332-555-0142	3	2013-07-31 00:00:00
V	503	688-555-0113	3	2012-07-31 00:00:00
V	505	383-555-0117	3	2012-07-31 00:00:00
V	507	1 (11) 500 555-0122	1	2013-06-30 00:00:00
V	509	371-555-0143	1	2012-07-31 00:00:00
V	511	844-555-0112	3	2011-08-01 00:00:00
V	513	954-555-0145	3	2013-08-30 00:00:00
V	515	229-555-0114	3	2012-07-31 00:00:00
V	517	340-555-0131	3	2011-05-31 00:00:00
V	519	545-555-0183	3	2011-08-01 00:00:00
V	521	962-555-0166	1	2011-07-01 00:00:00
V	523	494-555-0134	3	2011-10-01 00:00:00
V	525	163-555-0155	3	2012-07-31 00:00:00
V	527	162-555-0166	1	2011-10-01 00:00:00
V	529	513-555-0149	3	2013-06-30 00:00:00
V	531	1 (11) 500 555-0184	1	2013-06-30 00:00:00
V	533	1 (11) 500 555-0179	1	2012-05-30 00:00:00
V	535	525-555-0174	3	2011-10-01 00:00:00
V	537	1 (11) 500 555-0146	1	2013-05-30 00:00:00
V	539	689-555-0130	3	2012-06-30 00:00:00
V	541	575-555-0189	3	2013-05-30 00:00:00
V	543	496-555-0150	3	2011-08-01 00:00:00
V	545	658-555-0146	3	2012-06-30 00:00:00
V	547	428-555-0162	3	2012-05-30 00:00:00
V	549	1 (11) 500 555-0122	3	2013-05-30 00:00:00
V	551	644-555-0114	3	2011-05-31 00:00:00
V	553	581-555-0189	3	2013-06-30 00:00:00
V	555	128-555-0148	1	2012-06-30 00:00:00
V	557	383-555-0155	3	2012-05-30 00:00:00
V	559	249-555-0172	3	2012-07-31 00:00:00
V	561	817-555-0114	3	2012-06-30 00:00:00
V	563	1 (11) 500 555-0183	3	2013-05-30 00:00:00
V	565	476-555-0184	1	2013-07-31 00:00:00
V	567	315-555-0166	1	2012-05-30 00:00:00
V	569	148-555-0149	1	2012-05-30 00:00:00
V	571	857-555-0187	3	2011-07-01 00:00:00
V	573	652-555-0132	1	2011-05-31 00:00:00
V	575	710-555-0116	1	2012-07-31 00:00:00
V	577	1 (11) 500 555-0136	3	2013-07-31 00:00:00
V	579	251-555-0172	1	2013-06-30 00:00:00
V	581	1 (11) 500 555-0129	1	2013-06-30 00:00:00
V	583	131-555-0171	1	2011-05-31 00:00:00
V	585	164-555-0147	3	2011-10-01 00:00:00
V	587	1 (11) 500 555-0138	3	2013-07-31 00:00:00
V	589	1 (11) 500 555-0199	1	2012-05-30 00:00:00
V	591	726-555-0155	1	2011-05-31 00:00:00
V	593	1 (11) 500 555-0122	3	2012-09-30 00:00:00
V	595	1 (11) 500 555-0118	3	2013-06-30 00:00:00
V	597	145-555-0152	1	2012-06-30 00:00:00
V	599	827-555-0143	3	2011-07-01 00:00:00
V	601	1 (11) 500 555-0118	1	2012-06-30 00:00:00
V	603	377-555-0158	1	2012-06-30 00:00:00
V	605	1 (11) 500 555-0190	3	2012-05-30 00:00:00
V	607	700-555-0155	1	2011-07-01 00:00:00
V	609	756-555-0117	3	2012-09-30 00:00:00
V	611	635-555-0126	3	2011-08-01 00:00:00
V	613	118-555-0131	3	2013-05-30 00:00:00
V	615	965-555-0112	3	2011-07-01 00:00:00
V	617	990-555-0141	1	2013-07-31 00:00:00
V	619	488-555-0130	3	2012-09-30 00:00:00
V	621	112-555-0191	3	2012-06-30 00:00:00
V	623	1 (11) 500 555-0140	1	2013-07-31 00:00:00
V	625	193-555-0116	1	2013-07-31 00:00:00
V	627	1 (11) 500 555-0120	1	2012-06-30 00:00:00
V	629	716-555-0167	3	2013-05-30 00:00:00
V	631	646-555-0137	3	2011-08-01 00:00:00
V	633	268-555-0184	3	2012-06-30 00:00:00
V	635	1 (11) 500 555-0163	3	2013-05-30 00:00:00
V	637	620-555-0117	1	2012-07-31 00:00:00
V	639	944-555-0148	3	2012-05-30 00:00:00
V	641	279-555-0130	1	2011-08-01 00:00:00
V	643	244-555-0112	1	2013-07-31 00:00:00
V	645	1 (11) 500 555-0191	3	2012-06-30 00:00:00
V	647	180-555-0114	1	2011-08-01 00:00:00
V	649	353-555-0188	3	2012-06-30 00:00:00
V	651	362-555-0162	1	2013-05-30 00:00:00
V	653	242-555-0181	1	2011-08-01 00:00:00
V	655	695-555-0161	3	2013-06-30 00:00:00
V	657	1 (11) 500 555-0178	3	2012-07-31 00:00:00
V	659	644-555-0111	3	2013-07-31 00:00:00
V	661	351-555-0131	3	2011-05-31 00:00:00
V	663	301-555-0128	1	2012-05-30 00:00:00
V	665	1 (11) 500 555-0134	1	2013-05-30 00:00:00
V	667	127-555-0124	1	2011-08-01 00:00:00
V	669	448-555-0179	3	2013-05-30 00:00:00
V	671	223-555-0184	1	2011-08-01 00:00:00
V	673	708-555-0169	3	2012-05-30 00:00:00
V	675	1 (11) 500 555-0180	1	2013-07-31 00:00:00
V	677	117-555-0173	3	2011-07-01 00:00:00
V	679	514-555-0128	1	2011-08-01 00:00:00
V	681	789-555-0184	1	2013-07-31 00:00:00
V	683	344-555-0181	3	2012-05-30 00:00:00
V	685	264-555-0164	3	2011-08-01 00:00:00
V	687	1 (11) 500 555-0181	1	2013-05-30 00:00:00
V	689	1 (11) 500 555-0142	1	2013-06-30 00:00:00
V	691	727-555-0190	3	2012-05-30 00:00:00
V	693	273-555-0181	1	2011-08-01 00:00:00
V	695	429-555-0145	1	2013-07-31 00:00:00
V	697	334-555-0146	3	2011-05-31 00:00:00
V	699	927-555-0198	3	2012-06-30 00:00:00
V	701	221-555-0141	3	2012-07-31 00:00:00
V	703	539-555-0142	1	2011-07-01 00:00:00
V	705	1 (11) 500 555-0176	3	2013-06-30 00:00:00
V	707	206-555-0195	1	2013-06-30 00:00:00
V	709	250-555-0127	1	2012-06-30 00:00:00
V	711	661-555-0168	3	2013-06-30 00:00:00
V	713	426-555-0181	1	2011-10-01 00:00:00
V	715	159-555-0190	3	2011-10-31 00:00:00
V	717	1 (11) 500 555-0140	3	2013-05-30 00:00:00
V	719	292-555-0128	1	2013-05-30 00:00:00
V	721	987-555-0126	3	2011-05-31 00:00:00
V	723	397-555-0144	3	2011-08-01 00:00:00
V	725	119-555-0144	3	2011-10-31 00:00:00
V	727	652-555-0115	3	2011-07-01 00:00:00
V	729	1 (11) 500 555-0117	3	2013-07-31 00:00:00
V	731	383-555-0111	3	2012-06-30 00:00:00
V	733	752-555-0187	1	2012-07-31 00:00:00
V	735	1 (11) 500 555-0133	3	2013-05-30 00:00:00
V	737	428-555-0176	3	2011-07-01 00:00:00
V	739	884-555-0193	3	2011-08-01 00:00:00
V	741	773-555-0182	3	2011-08-31 00:00:00
V	743	542-555-0164	1	2012-05-30 00:00:00
V	745	941-555-0155	1	2012-06-30 00:00:00
V	747	1 (11) 500 555-0147	3	2013-07-31 00:00:00
V	749	140-555-0143	1	2011-07-01 00:00:00
V	751	945-555-0112	3	2011-08-01 00:00:00
V	753	539-555-0182	3	2011-08-01 00:00:00
